Organisation Description,Table Value,Period Axis
Sunshine Hospital,0.01,Jan - Mar 2025
Sunshine Hospital,0.06,Apr - Jun 2025
Sunshine Hospital,0.05,Jul - Sep 2025
Sunshine Hospital,0.09,Oct - Dec 2025
Swan Hill District Health,0.16,Oct - Dec 2024
Swan Hill District Health,0.13,Jan - Mar 2025
Swan Hill District Health,0.38,Apr - Jun 2025
Swan Hill District Health,0.46,Jul - Sep 2025
Swan Hill District Health,0.09,Oct - Dec 2025
The Alfred,0,Oct - Dec 2024
The Alfred,0,Jan - Mar 2025
The Alfred,0,Apr - Jun 2025
The Alfred,0,Jul - Sep 2025
The Alfred,0,Oct - Dec 2025
The Northern Hospital - Epping,0,Oct - Dec 2024
The Northern Hospital - Epping,0,Jan - Mar 2025
The Northern Hospital - Epping,0,Apr - Jun 2025
The Northern Hospital - Epping,0,Jul - Sep 2025
The Northern Hospital - Epping,0,Oct - Dec 2025
The Royal Children's Hospital Melbourne,0.03,Oct - Dec 2024
The Royal Children's Hospital Melbourne,0.01,Jan - Mar 2025
The Royal Children's Hospital Melbourne,0.01,Apr - Jun 2025
The Royal Children's Hospital Melbourne,0,Jul - Sep 2025
The Royal Children's Hospital Melbourne,0.01,Oct - Dec 2025
The Royal Melbourne Hospital - City Campus,0.1,Oct - Dec 2024
The Royal Melbourne Hospital - City Campus,0.04,Jan - Mar 2025
The Royal Melbourne Hospital - City Campus,0.05,Apr - Jun 2025
The Royal Melbourne Hospital - City Campus,0.02,Jul - Sep 2025
The Royal Melbourne Hospital - City Campus,0.03,Oct - Dec 2025
The Royal Victorian Eye and Ear Hospital,0,Oct - Dec 2024
The Royal Victorian Eye and Ear Hospital,0,Jan - Mar 2025
The Royal Victorian Eye and Ear Hospital,0,Apr - Jun 2025
The Royal Victorian Eye and Ear Hospital,0,Jul - Sep 2025
The Royal Victorian Eye and Ear Hospital,0,Oct - Dec 2025
The Royal Women's Hospital - Parkville Campus,0,Oct - Dec 2024
The Royal Women's Hospital - Parkville Campus,0,Jan - Mar 2025
The Royal Women's Hospital - Parkville Campus,0,Apr - Jun 2025
The Royal Women's Hospital - Parkville Campus,0,Jul - Sep 2025
The Royal Women's Hospital - Parkville Campus,0,Oct - Dec 2025
University Hospital Geelong,0,Oct - Dec 2024
University Hospital Geelong,0,Jan - Mar 2025
