Organisation Description,Table Value ,Calendar Quarter Name
Albury Hospital,33.00,Oct - Dec 2024
Albury Hospital,32.00,Jan - Mar 2025
Albury Hospital,24.00,Apr - Jun 2025
Albury Hospital,19.00,Jul - Sep 2025
Albury Hospital,22.00,Oct - Dec 2025
Angliss Hospital,5.00,Oct - Dec 2024
Angliss Hospital,5.00,Jan - Mar 2025
Angliss Hospital,6.00,Apr - Jun 2025
Angliss Hospital,6.00,Jul - Sep 2025
Angliss Hospital,6.00,Oct - Dec 2025
Austin Hospital,10.00,Oct - Dec 2024
Austin Hospital,10.00,Jan - Mar 2025
Austin Hospital,9.00,Apr - Jun 2025
Austin Hospital,10.00,Jul - Sep 2025
Austin Hospital,10.00,Oct - Dec 2025
Bairnsdale Regional Health Service,17.00,Oct - Dec 2024
Bairnsdale Regional Health Service,19.00,Jan - Mar 2025
Bairnsdale Regional Health Service,16.00,Apr - Jun 2025
Bairnsdale Regional Health Service,17.00,Jul - Sep 2025
Bairnsdale Regional Health Service,19.00,Oct - Dec 2025
Ballarat Base Hospital,56.00,Oct - Dec 2024
Ballarat Base Hospital,49.00,Jan - Mar 2025
Ballarat Base Hospital,59.00,Apr - Jun 2025
Ballarat Base Hospital,56.00,Jul - Sep 2025
Ballarat Base Hospital,55.00,Oct - Dec 2025
Bendigo Hospital,26.00,Oct - Dec 2024
Bendigo Hospital,22.00,Jan - Mar 2025
Bendigo Hospital,21.00,Apr - Jun 2025
Bendigo Hospital,26.00,Jul - Sep 2025
Bendigo Hospital,22.00,Oct - Dec 2025
Box Hill Hospital,7.00,Oct - Dec 2024
Box Hill Hospital,6.00,Jan - Mar 2025
Box Hill Hospital,6.00,Apr - Jun 2025
Box Hill Hospital,6.00,Jul - Sep 2025
Box Hill Hospital,6.00,Oct - Dec 2025
Casey Hospital,11.00,Oct - Dec 2024
Casey Hospital,11.00,Jan - Mar 2025
Casey Hospital,10.00,Apr - Jun 2025
Casey Hospital,11.00,Jul - Sep 2025
Casey Hospital,10.00,Oct - Dec 2025
Dandenong Hospital,9.00,Oct - Dec 2024
