Organisation Description,Table Value ,Calendar Quarter Name
Dandenong Hospital,8.00,Jan - Mar 2025
Dandenong Hospital,9.00,Apr - Jun 2025
Dandenong Hospital,10.00,Jul - Sep 2025
Dandenong Hospital,9.00,Oct - Dec 2025
Echuca Regional Health,29.00,Oct - Dec 2024
Echuca Regional Health,30.00,Jan - Mar 2025
Echuca Regional Health,30.00,Apr - Jun 2025
Echuca Regional Health,35.00,Jul - Sep 2025
Echuca Regional Health,36.00,Oct - Dec 2025
Footscray Hospital,22.00,Oct - Dec 2024
Footscray Hospital,25.00,Jan - Mar 2025
Footscray Hospital,32.00,Apr - Jun 2025
Footscray Hospital,34.00,Jul - Sep 2025
Footscray Hospital,43.00,Oct - Dec 2025
Frankston Hospital,21.00,Oct - Dec 2024
Frankston Hospital,14.00,Jan - Mar 2025
Frankston Hospital,11.00,Apr - Jun 2025
Frankston Hospital,14.00,Jul - Sep 2025
Frankston Hospital,14.00,Oct - Dec 2025
Hamilton Base Hospital,14.00,Oct - Dec 2024
Hamilton Base Hospital,19.00,Jan - Mar 2025
Hamilton Base Hospital,17.00,Apr - Jun 2025
Hamilton Base Hospital,20.00,Jul - Sep 2025
Hamilton Base Hospital,20.00,Oct - Dec 2025
Latrobe Regional Hospital,42.00,Oct - Dec 2024
Latrobe Regional Hospital,39.00,Jan - Mar 2025
Latrobe Regional Hospital,42.00,Apr - Jun 2025
Latrobe Regional Hospital,38.00,Jul - Sep 2025
Latrobe Regional Hospital,38.00,Oct - Dec 2025
Maroondah Hospital,6.00,Oct - Dec 2024
Maroondah Hospital,6.00,Jan - Mar 2025
Maroondah Hospital,6.00,Apr - Jun 2025
Maroondah Hospital,6.00,Jul - Sep 2025
Maroondah Hospital,8.00,Oct - Dec 2025
Mercy Hospital for Women - Heidelberg,23.00,Oct - Dec 2024
Mercy Hospital for Women - Heidelberg,24.00,Jan - Mar 2025
Mercy Hospital for Women - Heidelberg,24.00,Apr - Jun 2025
Mercy Hospital for Women - Heidelberg,23.00,Jul - Sep 2025
Mercy Hospital for Women - Heidelberg,22.00,Oct - Dec 2025
Mildura Base Hospital,41.00,Oct - Dec 2024
Mildura Base Hospital,40.00,Jan - Mar 2025
Mildura Base Hospital,34.00,Apr - Jun 2025
Mildura Base Hospital,39.00,Jul - Sep 2025
Mildura Base Hospital,35.00,Oct - Dec 2025
Monash Medical Centre - Clayton,10.00,Oct - Dec 2024
Monash Medical Centre - Clayton,10.00,Jan - Mar 2025
Monash Medical Centre - Clayton,11.00,Apr - Jun 2025
Monash Medical Centre - Clayton,10.00,Jul - Sep 2025
Monash Medical Centre - Clayton,9.00,Oct - Dec 2025
Northeast Health Wangaratta,38.00,Oct - Dec 2024
Northeast Health Wangaratta,35.00,Jan - Mar 2025
Northeast Health Wangaratta,35.00,Apr - Jun 2025
Northeast Health Wangaratta,39.00,Jul - Sep 2025
Northeast Health Wangaratta,47.00,Oct - Dec 2025
Rosebud Hospital,18.00,Oct - Dec 2024
Rosebud Hospital,13.00,Jan - Mar 2025
Rosebud Hospital,10.00,Apr - Jun 2025
Rosebud Hospital,11.00,Jul - Sep 2025
Rosebud Hospital,10.00,Oct - Dec 2025
Sale Hospital,25.00,Oct - Dec 2024
Sale Hospital,28.00,Jan - Mar 2025
Sale Hospital,22.00,Apr - Jun 2025
Sale Hospital,19.00,Jul - Sep 2025
Sale Hospital,20.00,Oct - Dec 2025
Sandringham Hospital,38.00,Oct - Dec 2024
Sandringham Hospital,31.00,Jan - Mar 2025
Sandringham Hospital,40.00,Apr - Jun 2025
Sandringham Hospital,46.00,Jul - Sep 2025
Sandringham Hospital,46.00,Oct - Dec 2025
Shepparton Campus,40.00,Oct - Dec 2024
Shepparton Campus,35.00,Jan - Mar 2025
Shepparton Campus,34.00,Apr - Jun 2025
Shepparton Campus,37.00,Jul - Sep 2025
Shepparton Campus,37.00,Oct - Dec 2025
St Vincent's Hospital Melbourne,42.00,Oct - Dec 2024
St Vincent's Hospital Melbourne,44.00,Jan - Mar 2025
St Vincent's Hospital Melbourne,35.00,Apr - Jun 2025
St Vincent's Hospital Melbourne,37.00,Jul - Sep 2025
St Vincent's Hospital Melbourne,39.00,Oct - Dec 2025
Statewide,22.00,Oct - Dec 2024
Statewide,21.00,Jan - Mar 2025
Statewide,21.00,Apr - Jun 2025
Statewide,23.00,Jul - Sep 2025
Statewide,22.00,Oct - Dec 2025
Sunshine Hospital,25.00,Oct - Dec 2024
Sunshine Hospital,25.00,Jan - Mar 2025
Sunshine Hospital,27.00,Apr - Jun 2025
Sunshine Hospital,33.00,Jul - Sep 2025
Sunshine Hospital,30.00,Oct - Dec 2025
Swan Hill District Health,29.00,Oct - Dec 2024
Swan Hill District Health,40.00,Jan - Mar 2025
Swan Hill District Health,37.00,Apr - Jun 2025
Swan Hill District Health,24.00,Jul - Sep 2025
Swan Hill District Health,22.00,Oct - Dec 2025
The Alfred,35.00,Oct - Dec 2024
The Alfred,34.00,Jan - Mar 2025
The Alfred,37.00,Apr - Jun 2025
The Alfred,44.00,Jul - Sep 2025
The Alfred,51.00,Oct - Dec 2025
The Northern Hospital - Epping,31.00,Oct - Dec 2024
The Northern Hospital - Epping,21.00,Jan - Mar 2025
The Northern Hospital - Epping,26.00,Apr - Jun 2025
The Northern Hospital - Epping,34.00,Jul - Sep 2025
The Northern Hospital - Epping,36.00,Oct - Dec 2025
The Royal Children's Hospital Melbourne,30.00,Oct - Dec 2024
The Royal Children's Hospital Melbourne,28.00,Jan - Mar 2025
The Royal Children's Hospital Melbourne,33.00,Apr - Jun 2025
The Royal Children's Hospital Melbourne,49.00,Jul - Sep 2025
The Royal Children's Hospital Melbourne,30.00,Oct - Dec 2025
The Royal Melbourne Hospital - City Campus,28.00,Oct - Dec 2024
The Royal Melbourne Hospital - City Campus,29.00,Jan - Mar 2025
The Royal Melbourne Hospital - City Campus,30.00,Apr - Jun 2025
The Royal Melbourne Hospital - City Campus,36.00,Jul - Sep 2025
The Royal Melbourne Hospital - City Campus,36.00,Oct - Dec 2025
The Royal Victorian Eye and Ear Hospital,27.00,Oct - Dec 2024
The Royal Victorian Eye and Ear Hospital,24.00,Jan - Mar 2025
The Royal Victorian Eye and Ear Hospital,24.00,Apr - Jun 2025
The Royal Victorian Eye and Ear Hospital,23.00,Jul - Sep 2025
The Royal Victorian Eye and Ear Hospital,19.00,Oct - Dec 2025
The Royal Women's Hospital - Parkville Campus,19.00,Oct - Dec 2024
The Royal Women's Hospital - Parkville Campus,24.00,Jan - Mar 2025
The Royal Women's Hospital - Parkville Campus,19.00,Apr - Jun 2025
The Royal Women's Hospital - Parkville Campus,24.00,Jul - Sep 2025
The Royal Women's Hospital - Parkville Campus,24.00,Oct - Dec 2025
University Hospital Geelong,34.00,Oct - Dec 2024
University Hospital Geelong,34.00,Jan - Mar 2025
University Hospital Geelong,40.00,Apr - Jun 2025
University Hospital Geelong,39.00,Jul - Sep 2025
University Hospital Geelong,41.00,Oct - Dec 2025
Victorian Heart Hospital,7.00,Oct - Dec 2024
Victorian Heart Hospital,7.00,Jan - Mar 2025
Victorian Heart Hospital,8.00,Apr - Jun 2025
Victorian Heart Hospital,11.00,Jul - Sep 2025
Victorian Heart Hospital,10.00,Oct - Dec 2025
Warrnambool Base Hospital,24.00,Oct - Dec 2024
Warrnambool Base Hospital,25.00,Jan - Mar 2025
Warrnambool Base Hospital,25.00,Apr - Jun 2025
Warrnambool Base Hospital,27.00,Jul - Sep 2025
Warrnambool Base Hospital,21.00,Oct - Dec 2025
Werribee Mercy Hospital,55.00,Oct - Dec 2024
Werribee Mercy Hospital,55.00,Jan - Mar 2025
Werribee Mercy Hospital,71.00,Apr - Jun 2025
Werribee Mercy Hospital,75.00,Jul - Sep 2025
Werribee Mercy Hospital,73.00,Oct - Dec 2025
West Gippsland Hospital,15.00,Oct - Dec 2024
West Gippsland Hospital,17.00,Jan - Mar 2025
West Gippsland Hospital,20.00,Apr - Jun 2025
West Gippsland Hospital,22.00,Jul - Sep 2025
West Gippsland Hospital,21.00,Oct - Dec 2025
Williamstown Hospital,11.00,Oct - Dec 2024
Williamstown Hospital,10.00,Jan - Mar 2025
Williamstown Hospital,11.00,Apr - Jun 2025
Williamstown Hospital,11.00,Jul - Sep 2025
Williamstown Hospital,12.00,Oct - Dec 2025
Wimmera Base Hospital - Horsham,32.00,Oct - Dec 2024
Wimmera Base Hospital - Horsham,27.00,Jan - Mar 2025
Wimmera Base Hospital - Horsham,27.00,Apr - Jun 2025
Wimmera Base Hospital - Horsham,27.00,Jul - Sep 2025
Wimmera Base Hospital - Horsham,22.50,Oct - Dec 2025
Wodonga Hospital,39.00,Oct - Dec 2024
Wodonga Hospital,41.00,Jan - Mar 2025
Wodonga Hospital,45.00,Apr - Jun 2025
Wodonga Hospital,36.00,Jul - Sep 2025
Wodonga Hospital,39.00,Oct - Dec 2025
Wonthaggi Hospital,11.00,Oct - Dec 2024
Wonthaggi Hospital,11.00,Jan - Mar 2025
Wonthaggi Hospital,10.00,Apr - Jun 2025
Wonthaggi Hospital,10.00,Jul - Sep 2025
Wonthaggi Hospital,8.00,Oct - Dec 2025
