hospital,network,quarter,quarter_start_utc,quarter_end_utc,wait_p90_mins,wait_median_cat123_mins,wait_median_cat45_mins,los_pct_under_4hr,los_pct_over_24hr,non_admitted_los_pct_under_4hr,source,data_class
Casey Hospital,Monash Health,Jan - Mar 2026,2025-12-31T13:00:00Z,2026-03-31T14:00:00Z,30.0,9.0,10.0,45.34,1.11,49.06,VAHI_PROXY,public-aggregate
Dandenong Hospital,Monash Health,Jan - Mar 2026,2025-12-31T13:00:00Z,2026-03-31T14:00:00Z,20.0,8.0,9.0,49.39,1.0,59.31,VAHI_PROXY,public-aggregate
Maroondah Hospital,Eastern Health,Jan - Mar 2026,2025-12-31T13:00:00Z,2026-03-31T14:00:00Z,62.0,7.0,8.0,42.39,1.06,51.41,VAHI_PROXY,public-aggregate
Monash Medical Centre - Clayton,Monash Health,Jan - Mar 2026,2025-12-31T13:00:00Z,2026-03-31T14:00:00Z,31.0,8.0,9.0,48.88,0.4,58.95,VAHI_PROXY,public-aggregate
Angliss Hospital,Eastern Health,Apr - Jun 2026,2026-03-31T14:00:00Z,2026-06-30T14:00:00Z,52.0,6.0,6.0,53.52,0.93,59.02,VAHI_PROXY,public-aggregate
Box Hill Hospital,Eastern Health,Apr - Jun 2026,2026-03-31T14:00:00Z,2026-06-30T14:00:00Z,89.0,6.0,6.0,38.54,1.8,46.17,VAHI_PROXY,public-aggregate
Casey Hospital,Monash Health,Apr - Jun 2026,2026-03-31T14:00:00Z,2026-06-30T14:00:00Z,30.0,9.0,10.0,45.34,1.11,49.06,VAHI_PROXY,public-aggregate
Dandenong Hospital,Monash Health,Apr - Jun 2026,2026-03-31T14:00:00Z,2026-06-30T14:00:00Z,20.0,8.0,9.0,49.39,1.0,59.31,VAHI_PROXY,public-aggregate
Maroondah Hospital,Eastern Health,Apr - Jun 2026,2026-03-31T14:00:00Z,2026-06-30T14:00:00Z,62.0,7.0,8.0,42.39,1.06,51.41,VAHI_PROXY,public-aggregate
Monash Medical Centre - Clayton,Monash Health,Apr - Jun 2026,2026-03-31T14:00:00Z,2026-06-30T14:00:00Z,31.0,8.0,9.0,48.88,0.4,58.95,VAHI_PROXY,public-aggregate
