Organisation Description,Table Value ,Calendar Quarter Name
Statewide,92.00,Apr - Jun 2025
Statewide,99.00,Jul - Sep 2025
Statewide,96.00,Oct - Dec 2025
Sunshine Hospital,75.00,Oct - Dec 2024
Sunshine Hospital,78.00,Jan - Mar 2025
Sunshine Hospital,91.00,Apr - Jun 2025
Sunshine Hospital,103.00,Jul - Sep 2025
Sunshine Hospital,103.00,Oct - Dec 2025
Swan Hill District Health,100.00,Oct - Dec 2024
Swan Hill District Health,126.00,Jan - Mar 2025
Swan Hill District Health,126.00,Apr - Jun 2025
Swan Hill District Health,98.00,Jul - Sep 2025
Swan Hill District Health,85.00,Oct - Dec 2025
The Alfred,94.20,Oct - Dec 2024
The Alfred,91.00,Jan - Mar 2025
The Alfred,103.00,Apr - Jun 2025
The Alfred,119.00,Jul - Sep 2025
The Alfred,147.00,Oct - Dec 2025
The Northern Hospital - Epping,89.00,Oct - Dec 2024
The Northern Hospital - Epping,91.00,Jan - Mar 2025
The Northern Hospital - Epping,91.00,Apr - Jun 2025
The Northern Hospital - Epping,104.00,Jul - Sep 2025
The Northern Hospital - Epping,111.00,Oct - Dec 2025
The Royal Children's Hospital Melbourne,100.00,Oct - Dec 2024
The Royal Children's Hospital Melbourne,93.00,Jan - Mar 2025
The Royal Children's Hospital Melbourne,106.00,Apr - Jun 2025
The Royal Children's Hospital Melbourne,141.00,Jul - Sep 2025
The Royal Children's Hospital Melbourne,100.00,Oct - Dec 2025
The Royal Melbourne Hospital - City Campus,91.00,Oct - Dec 2024
The Royal Melbourne Hospital - City Campus,97.00,Jan - Mar 2025
The Royal Melbourne Hospital - City Campus,99.00,Apr - Jun 2025
The Royal Melbourne Hospital - City Campus,113.00,Jul - Sep 2025
The Royal Melbourne Hospital - City Campus,117.00,Oct - Dec 2025
The Royal Victorian Eye and Ear Hospital,74.00,Oct - Dec 2024
The Royal Victorian Eye and Ear Hospital,68.00,Jan - Mar 2025
The Royal Victorian Eye and Ear Hospital,64.00,Apr - Jun 2025
The Royal Victorian Eye and Ear Hospital,70.00,Jul - Sep 2025
The Royal Victorian Eye and Ear Hospital,60.00,Oct - Dec 2025
