Organisation Description,Table Value,Period Axis
Statewide,48.95,Jul - Sep 2025
Statewide,50.38,Oct - Dec 2025
Sunshine Hospital,53.17,Oct - Dec 2024
Sunshine Hospital,53.16,Jan - Mar 2025
Sunshine Hospital,48.74,Apr - Jun 2025
Sunshine Hospital,43.44,Jul - Sep 2025
Sunshine Hospital,43.98,Oct - Dec 2025
Swan Hill District Health,69.58,Oct - Dec 2024
Swan Hill District Health,67.73,Jan - Mar 2025
Swan Hill District Health,66.55,Apr - Jun 2025
Swan Hill District Health,66.1,Jul - Sep 2025
Swan Hill District Health,69.86,Oct - Dec 2025
The Alfred,70.58,Oct - Dec 2024
The Alfred,69.24,Jan - Mar 2025
The Alfred,66.28,Apr - Jun 2025
The Alfred,62.28,Jul - Sep 2025
The Alfred,56.82,Oct - Dec 2025
The Northern Hospital - Epping,58.93,Oct - Dec 2024
The Northern Hospital - Epping,57.76,Jan - Mar 2025
The Northern Hospital - Epping,60.28,Apr - Jun 2025
The Northern Hospital - Epping,45.64,Jul - Sep 2025
The Northern Hospital - Epping,43.11,Oct - Dec 2025
The Royal Children's Hospital Melbourne,74.43,Oct - Dec 2024
The Royal Children's Hospital Melbourne,75.56,Jan - Mar 2025
The Royal Children's Hospital Melbourne,74.01,Apr - Jun 2025
The Royal Children's Hospital Melbourne,66.11,Jul - Sep 2025
The Royal Children's Hospital Melbourne,70.87,Oct - Dec 2025
The Royal Melbourne Hospital - City Campus,56.4,Oct - Dec 2024
The Royal Melbourne Hospital - City Campus,55.92,Jan - Mar 2025
The Royal Melbourne Hospital - City Campus,56.2,Apr - Jun 2025
The Royal Melbourne Hospital - City Campus,49.83,Jul - Sep 2025
The Royal Melbourne Hospital - City Campus,47.37,Oct - Dec 2025
The Royal Victorian Eye and Ear Hospital,61.32,Oct - Dec 2024
The Royal Victorian Eye and Ear Hospital,59.76,Jan - Mar 2025
The Royal Victorian Eye and Ear Hospital,59.84,Apr - Jun 2025
The Royal Victorian Eye and Ear Hospital,57.06,Jul - Sep 2025
The Royal Victorian Eye and Ear Hospital,62.33,Oct - Dec 2025
The Royal Women's Hospital - Parkville Campus,75.52,Oct - Dec 2024
The Royal Women's Hospital - Parkville Campus,72.18,Jan - Mar 2025
The Royal Women's Hospital - Parkville Campus,70.13,Apr - Jun 2025
The Royal Women's Hospital - Parkville Campus,70.49,Jul - Sep 2025
The Royal Women's Hospital - Parkville Campus,69.48,Oct - Dec 2025
University Hospital Geelong,45.29,Oct - Dec 2024
University Hospital Geelong,44.32,Jan - Mar 2025
University Hospital Geelong,43.21,Apr - Jun 2025
University Hospital Geelong,41.38,Jul - Sep 2025
University Hospital Geelong,41.95,Oct - Dec 2025
Victorian Heart Hospital,79.27,Oct - Dec 2024
Victorian Heart Hospital,78.66,Jan - Mar 2025
Victorian Heart Hospital,74.82,Apr - Jun 2025
Victorian Heart Hospital,68.14,Jul - Sep 2025
Victorian Heart Hospital,75.17,Oct - Dec 2025
Warrnambool Base Hospital,56.86,Oct - Dec 2024
Warrnambool Base Hospital,56.78,Jan - Mar 2025
Warrnambool Base Hospital,60.13,Apr - Jun 2025
Warrnambool Base Hospital,52.89,Jul - Sep 2025
Warrnambool Base Hospital,53.45,Oct - Dec 2025
Werribee Mercy Hospital,38.89,Oct - Dec 2024
Werribee Mercy Hospital,37.86,Jan - Mar 2025
Werribee Mercy Hospital,35.91,Apr - Jun 2025
Werribee Mercy Hospital,32.32,Jul - Sep 2025
Werribee Mercy Hospital,34.74,Oct - Dec 2025
West Gippsland Hospital,58.65,Oct - Dec 2024
West Gippsland Hospital,59.01,Jan - Mar 2025
West Gippsland Hospital,54.19,Apr - Jun 2025
West Gippsland Hospital,51.08,Jul - Sep 2025
West Gippsland Hospital,54.21,Oct - Dec 2025
Williamstown Hospital,80.62,Oct - Dec 2024
Williamstown Hospital,82.79,Jan - Mar 2025
Williamstown Hospital,81.66,Apr - Jun 2025
Williamstown Hospital,79.54,Jul - Sep 2025
Williamstown Hospital,79.26,Oct - Dec 2025
Wimmera Base Hospital - Horsham,56.54,Oct - Dec 2024
Wimmera Base Hospital - Horsham,62.54,Jan - Mar 2025
Wimmera Base Hospital - Horsham,60.97,Apr - Jun 2025
Wimmera Base Hospital - Horsham,60.31,Jul - Sep 2025
Wimmera Base Hospital - Horsham,59.24,Oct - Dec 2025
Wodonga Hospital,64.24,Oct - Dec 2024
Wodonga Hospital,62.11,Jan - Mar 2025
Wodonga Hospital,57.77,Apr - Jun 2025
Wodonga Hospital,59.19,Jul - Sep 2025
Wodonga Hospital,58.75,Oct - Dec 2025
Wonthaggi Hospital,59.26,Oct - Dec 2024
Wonthaggi Hospital,54.66,Jan - Mar 2025
Wonthaggi Hospital,60.79,Apr - Jun 2025
Wonthaggi Hospital,58.41,Jul - Sep 2025
Wonthaggi Hospital,66.05,Oct - Dec 2025
