Organisation Description,Table Value,Period Axis
Statewide,57.14,Jul - Sep 2025
Statewide,59.08,Oct - Dec 2025
Sunshine Hospital,58.28,Oct - Dec 2024
Sunshine Hospital,58.78,Jan - Mar 2025
Sunshine Hospital,55.42,Apr - Jun 2025
Sunshine Hospital,49.5,Jul - Sep 2025
Sunshine Hospital,49.56,Oct - Dec 2025
Swan Hill District Health,78.13,Oct - Dec 2024
Swan Hill District Health,74.35,Jan - Mar 2025
Swan Hill District Health,73.11,Apr - Jun 2025
Swan Hill District Health,73.25,Jul - Sep 2025
Swan Hill District Health,76.87,Oct - Dec 2025
The Alfred,83.08,Oct - Dec 2024
The Alfred,83.32,Jan - Mar 2025
The Alfred,80.36,Apr - Jun 2025
The Alfred,74.19,Jul - Sep 2025
The Alfred,66.51,Oct - Dec 2025
The Northern Hospital - Epping,73.43,Oct - Dec 2024
The Northern Hospital - Epping,72.52,Jan - Mar 2025
The Northern Hospital - Epping,74.8,Apr - Jun 2025
The Northern Hospital - Epping,56.2,Jul - Sep 2025
The Northern Hospital - Epping,53.69,Oct - Dec 2025
The Royal Children's Hospital Melbourne,82.07,Oct - Dec 2024
The Royal Children's Hospital Melbourne,83.38,Jan - Mar 2025
The Royal Children's Hospital Melbourne,80.67,Apr - Jun 2025
The Royal Children's Hospital Melbourne,71.98,Jul - Sep 2025
The Royal Children's Hospital Melbourne,78.6,Oct - Dec 2025
The Royal Melbourne Hospital - City Campus,65.3,Oct - Dec 2024
The Royal Melbourne Hospital - City Campus,63.75,Jan - Mar 2025
The Royal Melbourne Hospital - City Campus,66.73,Apr - Jun 2025
The Royal Melbourne Hospital - City Campus,59.11,Jul - Sep 2025
The Royal Melbourne Hospital - City Campus,57.11,Oct - Dec 2025
The Royal Victorian Eye and Ear Hospital,61.41,Oct - Dec 2024
The Royal Victorian Eye and Ear Hospital,60.18,Jan - Mar 2025
The Royal Victorian Eye and Ear Hospital,60.2,Apr - Jun 2025
The Royal Victorian Eye and Ear Hospital,56.95,Jul - Sep 2025
The Royal Victorian Eye and Ear Hospital,63.07,Oct - Dec 2025
The Royal Women's Hospital - Parkville Campus,74.79,Oct - Dec 2024
The Royal Women's Hospital - Parkville Campus,70.67,Jan - Mar 2025
The Royal Women's Hospital - Parkville Campus,67.57,Apr - Jun 2025
The Royal Women's Hospital - Parkville Campus,66.66,Jul - Sep 2025
The Royal Women's Hospital - Parkville Campus,63.25,Oct - Dec 2025
University Hospital Geelong,57.67,Oct - Dec 2024
University Hospital Geelong,55.55,Jan - Mar 2025
University Hospital Geelong,54.11,Apr - Jun 2025
University Hospital Geelong,50.7,Jul - Sep 2025
University Hospital Geelong,52.53,Oct - Dec 2025
Victorian Heart Hospital,88.61,Oct - Dec 2024
Victorian Heart Hospital,90.63,Jan - Mar 2025
Victorian Heart Hospital,85.14,Apr - Jun 2025
Victorian Heart Hospital,78.87,Jul - Sep 2025
Victorian Heart Hospital,83.68,Oct - Dec 2025
Warrnambool Base Hospital,66.72,Oct - Dec 2024
Warrnambool Base Hospital,67.11,Jan - Mar 2025
Warrnambool Base Hospital,69.63,Apr - Jun 2025
Warrnambool Base Hospital,64.57,Jul - Sep 2025
Warrnambool Base Hospital,63.99,Oct - Dec 2025
Werribee Mercy Hospital,40.69,Oct - Dec 2024
Werribee Mercy Hospital,39.67,Jan - Mar 2025
Werribee Mercy Hospital,36.58,Apr - Jun 2025
Werribee Mercy Hospital,32.25,Jul - Sep 2025
Werribee Mercy Hospital,34.59,Oct - Dec 2025
West Gippsland Hospital,64.7,Oct - Dec 2024
West Gippsland Hospital,65.97,Jan - Mar 2025
West Gippsland Hospital,59.4,Apr - Jun 2025
West Gippsland Hospital,55.55,Jul - Sep 2025
West Gippsland Hospital,59.16,Oct - Dec 2025
Williamstown Hospital,83.47,Oct - Dec 2024
Williamstown Hospital,85.39,Jan - Mar 2025
Williamstown Hospital,84.6,Apr - Jun 2025
